severity,gaussian_blur,low_light
0,0.9797369229703745,0.9797369229703745
1,0.9769794515008172,0.9796288256764277
2,0.9701098498720859,0.9639159038267624
3,0.8771104549191634,0.87769734443277
4,0.7932547983442395,0.8408197081172368
5,0.720737669532404,0.771906001866023
